pricing_id,room_id,price,service_fee,effective_from
63,1035579,779 ,156 ,2026-01-25
64,1036131,653 ,131 ,2026-01-25
65,1036683,303 ,61 ,2026-01-25
66,1037236,825 ,165 ,2026-01-25
67,1037788,646 ,129 ,2026-01-25
68,1038340,1037 ,207 ,2026-01-25
69,1038892,87 ,17 ,2026-01-25
70,1039445,316 ,63 ,2026-01-25
71,1039997,735 ,147 ,2026-01-25
72,1040549,524 ,105 ,2026-01-25
73,1041102,238 ,48 ,2026-01-25
74,1041654,603 ,121 ,2026-01-25
75,1042206,571 ,114 ,2026-01-25
76,1042759,398 ,80 ,2026-01-25
77,1043311,618 ,124 ,2026-01-25
78,1043863,116 ,23 ,2026-01-25
79,1044415,54 ,11 ,2026-01-25
80,1044968,744 ,149 ,2026-01-25
81,1045520,1065 ,213 ,2026-01-25
82,1046072,1057 ,211 ,2026-01-25
83,1046625,1056 ,211 ,2026-01-25
84,1047177,909 ,182 ,2026-01-25
85,1047729,586 ,117 ,2026-01-25
86,1048282,575 ,115 ,2026-01-25
87,1048834,292 ,58 ,2026-01-25
88,1049386,194 ,39 ,2026-01-25
89,1049938,123 ,25 ,2026-01-25
90,1050491,1079 ,216 ,2026-01-25
91,1051043,266 ,53 ,2026-01-25
92,1051595,728 ,146 ,2026-01-25
93,1052148,583 ,117 ,2026-01-25
94,1052700,51 ,10 ,2026-01-25
95,1053252,588 ,118 ,2026-01-25
96,1053805,360 ,72 ,2026-01-25
97,1054357,380 ,76 ,2026-01-25
98,1054909,343 ,69 ,2026-01-25
99,1055461,160 ,32 ,2026-01-25
100,1056014,528 ,106 ,2026-01-25
101,1056566,739 ,148 ,2026-01-25
102,1057118,913 ,183 ,2026-01-25
103,1057671,507 ,101 ,2026-01-25
104,1058223,306 ,61 ,2026-01-25
105,1058775,1078 ,216 ,2026-01-25
106,1059328,887 ,177 ,2026-01-25
107,1059880,243 ,49 ,2026-01-25
108,1060432,500 ,100 ,2026-01-25
109,1060984,589 ,118 ,2026-01-25
110,1061537,839 ,168 ,2026-01-25
111,1062089,528 ,106 ,2026-01-25
112,1062641,66 ,13 ,2026-01-25
113,1063194,761 ,152 ,2026-01-25
114,1063746,523 ,105 ,2026-01-25
115,1064298,631 ,126 ,2026-01-25
116,1064851,677 ,135 ,2026-01-25
117,1065403,574 ,115 ,2026-01-25
118,1065955,232 ,46 ,2026-01-25
119,1066507,1154 ,231 ,2026-01-25
120,1067060,737 ,147 ,2026-01-25
121,1067612,456 ,91 ,2026-01-25
122,1068164,291 ,58 ,2026-01-25
123,1068717,996 ,199 ,2026-01-25
124,1069269,788 ,158 ,2026-01-25
125,1069821,1105 ,221 ,2026-01-25
126,1070374,1109 ,222 ,2026-01-25
127,1070926,659 ,132 ,2026-01-25
128,1071478,571 ,114 ,2026-01-25
129,1072030,736 ,147 ,2026-01-25
130,1072583,946 ,189 ,2026-01-25
131,1073135,449 ,90 ,2026-01-25
132,1073687,930 ,186 ,2026-01-25
133,1074240,329 ,66 ,2026-01-25
134,1074792,1125 ,225 ,2026-01-25
135,1075344,1099 ,220 ,2026-01-25
136,1075897,256 ,51 ,2026-01-25
137,1076449,263 ,53 ,2026-01-25
138,1077001,96 ,19 ,2026-01-25
139,1077553,1192 ,238 ,2026-01-25
140,1078106,593 ,119 ,2026-01-25
141,1078658,490 ,98 ,2026-01-25
142,1079210,488 ,98 ,2026-01-25
143,1079763,658 ,132 ,2026-01-25
144,1080315,1109 ,222 ,2026-01-25
145,1080867,606 ,121 ,2026-01-25
146,1081420,853 ,171 ,2026-01-25
147,1081972,172 ,34 ,2026-01-25
148,1082524,,64 ,2026-01-25
149,1083076,,119 ,2026-01-25
150,1083629,1133 ,227 ,2026-01-25
151,1084181,162 ,32 ,2026-01-25
152,1084733,944 ,189 ,2026-01-25
153,1085286,505 ,101 ,2026-01-25
154,1085838,113 ,23 ,2026-01-25
155,1086390,810 ,162 ,2026-01-25
156,1086943,370 ,74 ,2026-01-25
157,1087495,738 ,148 ,2026-01-25
158,1088047,1013 ,203 ,2026-01-25
159,1088599,464 ,93 ,2026-01-25
160,1089152,744 ,149 ,2026-01-25
161,1089704,764 ,153 ,2026-01-25
162,1090256,1020 ,204 ,2026-01-25
163,1090809,355 ,71 ,2026-01-25
164,1091361,244 ,49 ,2026-01-25
165,1091913,385 ,77 ,2026-01-25
166,1092466,950 ,190 ,2026-01-25
167,1093018,374 ,75 ,2026-01-25
168,1093570,375 ,75 ,2026-01-25
169,1094122,925 ,185 ,2026-01-25
170,1094675,842 ,168 ,2026-01-25
171,1095227,1015 ,203 ,2026-01-25
172,1095779,503 ,101 ,2026-01-25
173,1096332,483 ,97 ,2026-01-25
174,1096884,176 ,35 ,2026-01-25
175,1097436,185 ,37 ,2026-01-25
176,1097989,387 ,77 ,2026-01-25
177,1098541,1155 ,231 ,2026-01-25
178,1099093,665 ,133 ,2026-01-25
179,1099645,175 ,35 ,2026-01-25
180,1100198,408 ,82 ,2026-01-25
181,1100750,601 ,120 ,2026-01-25
182,1101302,107 ,21 ,2026-01-25
183,1101855,724 ,145 ,2026-01-25
184,1102407,450 ,90 ,2026-01-25
185,1102959,1153 ,231 ,2026-01-25
186,1103512,327 ,65 ,2026-01-25
187,1104064,946 ,189 ,2026-01-25
188,1104616,498 ,100 ,2026-01-25
189,1105168,720 ,144 ,2026-01-25
190,1105721,174 ,35 ,2026-01-25
191,1106273,323 ,65 ,2026-01-25
192,1106825,539 ,108 ,2026-01-25
193,1107378,232 ,46 ,2026-01-25
194,1107930,968 ,194 ,2026-01-25
195,1108482,460 ,92 ,2026-01-25
196,1109035,81 ,16 ,2026-01-25
197,1109587,267 ,53 ,2026-01-25
198,1110139,1084 ,217 ,2026-01-25
199,1110691,402 ,80 ,2026-01-25
200,1111244,457 ,91 ,2026-01-25
201,1111796,938 ,188 ,2026-01-25
202,1112348,405 ,81 ,2026-01-25
203,1112901,907 ,181 ,2026-01-25
204,1113453,693 ,139 ,2026-01-25
205,1114005,586 ,117 ,2026-01-25
206,1114558,112 ,22 ,2026-01-25
207,1115110,936 ,187 ,2026-01-25
208,1115662,749 ,150 ,2026-01-25
209,1116214,538 ,108 ,2026-01-25
210,1116767,252 ,50 ,2026-01-25
211,1117319,,176 ,2026-01-25
212,1117871,,152 ,2026-01-25
213,1118424,,151 ,2026-01-25
214,1118976,,48 ,2026-01-25
215,1119528,131 ,26 ,2026-01-25
216,1120081,444 ,89 ,2026-01-25
217,1120633,1089 ,218 ,2026-01-25
218,1121185,518 ,104 ,2026-01-25
219,1121737,220 ,44 ,2026-01-25
220,1122290,1133 ,227 ,2026-01-25
221,1122842,316 ,63 ,2026-01-25
222,1123394,396 ,79 ,2026-01-25
223,1123947,813 ,163 ,2026-01-25
224,1124499,111 ,22 ,2026-01-25
225,1125051,908 ,182 ,2026-01-25
226,1125604,823 ,165 ,2026-01-25
227,1126156,186 ,37 ,2026-01-25
228,1126708,84 ,17 ,2026-01-25
229,1127260,241 ,48 ,2026-01-25
230,1127813,54 ,11 ,2026-01-25
231,1128365,656 ,131 ,2026-01-25
232,1128917,509 ,102 ,2026-01-25
233,1129470,1198 ,240 ,2026-01-25
234,1130022,588 ,118 ,2026-01-25
235,1130574,228 ,46 ,2026-01-25
236,1131127,874 ,175 ,2026-01-25
237,1131679,1052 ,210 ,2026-01-25
238,1132231,1127 ,225 ,2026-01-25
239,1132783,137 ,27 ,2026-01-25
240,1133336,138 ,28 ,2026-01-25
241,1133888,597 ,119 ,2026-01-25
242,1134440,252 ,50 ,2026-01-25
243,1134993,959 ,192 ,2026-01-25
244,1135545,595 ,119 ,2026-01-25
245,1136097,1076 ,215 ,2026-01-25
246,1136650,956 ,191 ,2026-01-25
247,1137202,81 ,16 ,2026-01-25
248,1137754,472 ,94 ,2026-01-25
249,1138306,1058 ,212 ,2026-01-25
250,1138859,1028 ,206 ,2026-01-25
251,1139411,725 ,145 ,2026-01-25
252,1139963,784 ,157 ,2026-01-25
253,1140516,593 ,119 ,2026-01-25
254,1141068,1067 ,213 ,2026-01-25
255,1141620,794 ,159 ,2026-01-25
256,1142173,842 ,168 ,2026-01-25
257,1142725,1164 ,233 ,2026-01-25
258,1143277,1032 ,206 ,2026-01-25
259,1143829,545 ,109 ,2026-01-25
260,1144382,786 ,157 ,2026-01-25
261,1144934,114 ,23 ,2026-01-25
262,1145486,643 ,129 ,2026-01-25
263,1146039,909 ,182 ,2026-01-25
264,1146591,841 ,168 ,2026-01-25
265,1147143,73 ,15 ,2026-01-25
266,1147696,1143 ,229 ,2026-01-25
267,1148248,373 ,75 ,2026-01-25
268,1148800,572 ,114 ,2026-01-25
269,1149352,136 ,27 ,2026-01-25
270,1149905,383 ,77 ,2026-01-25
271,1150457,343 ,69 ,2026-01-25
272,1151009,1095 ,219 ,2026-01-25
273,1151562,503 ,101 ,2026-01-25
274,1152114,895 ,179 ,2026-01-25
275,1152666,426 ,85 ,2026-01-25
276,1153219,1127 ,225 ,2026-01-25
277,1153771,368 ,74 ,2026-01-25
278,1154323,679 ,136 ,2026-01-25
279,1154875,850 ,170 ,2026-01-25
280,1155428,1003 ,201 ,2026-01-25
281,1155980,875 ,175 ,2026-01-25
282,1156532,953 ,191 ,2026-01-25
283,1157085,720 ,144 ,2026-01-25
284,1157637,387 ,77 ,2026-01-25
285,1158189,662 ,132 ,2026-01-25
286,1158742,375 ,75 ,2026-01-25
287,1159294,706 ,141 ,2026-01-25
288,1159846,387 ,77 ,2026-01-25
289,1160398,487 ,97 ,2026-01-25
290,1160951,779 ,156 ,2026-01-25
291,1161503,209 ,42 ,2026-01-25
292,1162055,1083 ,217 ,2026-01-25
293,1162608,616 ,123 ,2026-01-25
294,1163160,968 ,194 ,2026-01-25
295,1163712,643 ,129 ,2026-01-25
296,1164265,960 ,192 ,2026-01-25
297,1164817,961 ,192 ,2026-01-25
298,1165369,544 ,109 ,2026-01-25
299,1165921,523 ,105 ,2026-01-25
300,1166474,614 ,123 ,2026-01-25
301,1167026,178 ,36 ,2026-01-25
302,1167578,61 ,12 ,2026-01-25
303,1168131,901 ,180 ,2026-01-25
304,1168683,1189 ,238 ,2026-01-25
305,1169235,783 ,157 ,2026-01-25
306,1169788,69 ,14 ,2026-01-25
307,1170340,1018 ,204 ,2026-01-25
308,1170892,651 ,130 ,2026-01-25
309,1171444,935 ,187 ,2026-01-25
310,1171997,784 ,157 ,2026-01-25
311,1172549,55 ,11 ,2026-01-25
312,1173101,989 ,198 ,2026-01-25
313,1173654,1029 ,206 ,2026-01-25
314,1174206,291 ,58 ,2026-01-25
315,1174758,787 ,157 ,2026-01-25
316,1175311,269 ,54 ,2026-01-25
317,1175863,725 ,145 ,2026-01-25
318,1176415,612 ,122 ,2026-01-25
319,1176967,920 ,184 ,2026-01-25
320,1177520,1080 ,216 ,2026-01-25
321,1178072,824 ,165 ,2026-01-25
322,1178624,1038 ,208 ,2026-01-25
323,1179177,1074 ,215 ,2026-01-25
324,1179729,72 ,14 ,2026-01-25
325,1180281,162 ,32 ,2026-01-25
326,1180834,701 ,140 ,2026-01-25
327,1181386,566 ,113 ,2026-01-25
328,1181938,741 ,148 ,2026-01-25
329,1182490,338 ,68 ,2026-01-25
330,1183043,1065 ,213 ,2026-01-25
331,1183595,1059 ,212 ,2026-01-25
332,1184147,1109 ,222 ,2026-01-25
333,1184700,981 ,196 ,2026-01-25
334,1185252,589 ,118 ,2026-01-25
335,1185804,685 ,137 ,2026-01-25
336,1186357,348 ,70 ,2026-01-25
337,1186909,824 ,165 ,2026-01-25
338,1187461,68 ,14 ,2026-01-25
339,1188013,933 ,187 ,2026-01-25
340,1188566,69 ,14 ,2026-01-25
341,1189118,1034 ,207 ,2026-01-25
342,1189670,248 ,50 ,2026-01-25
343,1190223,1019 ,204 ,2026-01-25
344,1190775,588 ,118 ,2026-01-25
345,1191327,206 ,41 ,2026-01-25
346,1191880,528 ,106 ,2026-01-25
347,1192432,332 ,66 ,2026-01-25
348,1192984,174 ,35 ,2026-01-25
349,1193536,729 ,146 ,2026-01-25
350,1194089,292 ,58 ,2026-01-25
351,1194641,1142 ,228 ,2026-01-25
352,1195193,1056 ,211 ,2026-01-25
353,1195746,73 ,15 ,2026-01-25
354,1196298,56 ,11 ,2026-01-25
355,1196850,1047 ,209 ,2026-01-25
356,1197403,643 ,129 ,2026-01-25
357,1197955,943 ,189 ,2026-01-25
358,1198507,1152 ,230 ,2026-01-25
359,1199059,599 ,120 ,2026-01-25
360,1199612,672 ,134 ,2026-01-25
361,1200164,50 ,10 ,2026-01-25
362,1200716,671 ,134 ,2026-01-25
363,1201269,575 ,115 ,2026-01-25
364,1201821,99 ,20 ,2026-01-25
365,1202373,52 ,10 ,2026-01-25
366,1202926,964 ,193 ,2026-01-25
367,1203478,68 ,14 ,2026-01-25
368,1204030,549 ,110 ,2026-01-25
369,1204582,438 ,88 ,2026-01-25
370,1205135,490 ,98 ,2026-01-25
371,1205687,1137 ,227 ,2026-01-25
372,1206239,1170 ,234 ,2026-01-25
373,1206792,753 ,151 ,2026-01-25
374,1207344,369 ,74 ,2026-01-25
375,1207896,508 ,102 ,2026-01-25
376,1208449,443 ,89 ,2026-01-25
377,1209001,947 ,189 ,2026-01-25
378,1209553,857 ,171 ,2026-01-25
379,1210105,861 ,172 ,2026-01-25
380,1210658,536 ,107 ,2026-01-25
381,1211210,690 ,138 ,2026-01-25
382,1211762,971 ,194 ,2026-01-25
383,1212315,696 ,139 ,2026-01-25
384,1212867,1188 ,238 ,2026-01-25
385,1213419,1083 ,217 ,2026-01-25
386,1213972,471 ,94 ,2026-01-25
387,1214524,257 ,51 ,2026-01-25
388,1215076,225 ,45 ,2026-01-25
389,1215628,1042 ,208 ,2026-01-25
390,1216181,52 ,10 ,2026-01-25
391,1216733,409 ,82 ,2026-01-25
392,1217285,121 ,24 ,2026-01-25
393,1217838,788 ,158 ,2026-01-25
394,1218390,586 ,117 ,2026-01-25
395,1218942,608 ,122 ,2026-01-25
396,1219495,964 ,193 ,2026-01-25
397,1220047,154 ,31 ,2026-01-25
398,1220599,132 ,26 ,2026-01-25
399,1221151,779 ,156 ,2026-01-25
400,1221704,619 ,124 ,2026-01-25
401,1222256,1155 ,231 ,2026-01-25
402,1222808,281 ,56 ,2026-01-25
403,1223361,280 ,56 ,2026-01-25
404,1223913,,29 ,2026-01-25
405,1224465,,56 ,2026-01-25
406,1225018,,157 ,2026-01-25
407,1225570,250 ,50 ,2026-01-25
408,1226122,430 ,86 ,2026-01-25
409,1226674,1170 ,234 ,2026-01-25
410,1227227,572 ,114 ,2026-01-25
411,1227779,173 ,35 ,2026-01-25
412,1228331,1092 ,218 ,2026-01-25
413,1228884,1033 ,207 ,2026-01-25
414,1229436,1015 ,203 ,2026-01-25
415,1229988,507 ,101 ,2026-01-25
416,1230541,852 ,170 ,2026-01-25
417,1231093,445 ,89 ,2026-01-25
418,1231645,170 ,34 ,2026-01-25
419,1232197,377 ,75 ,2026-01-25
420,1232750,1162 ,232 ,2026-01-25
421,1233302,438 ,88 ,2026-01-25
422,1233854,874 ,175 ,2026-01-25
423,1234407,589 ,118 ,2026-01-25
424,1234959,725 ,145 ,2026-01-25
425,1235511,661 ,132 ,2026-01-25
426,1236064,960 ,192 ,2026-01-25
427,1236616,162 ,32 ,2026-01-25
428,1237168,431 ,86 ,2026-01-25
429,1237720,226 ,45 ,2026-01-25
430,1238273,1101 ,220 ,2026-01-25
431,1238825,954 ,191 ,2026-01-25
432,1239377,233 ,47 ,2026-01-25
433,1239930,1032 ,206 ,2026-01-25
434,1240482,1123 ,225 ,2026-01-25
435,1241034,811 ,162 ,2026-01-25
436,1241587,935 ,187 ,2026-01-25
437,1242139,465 ,93 ,2026-01-25
438,1242691,256 ,51 ,2026-01-25
439,1243243,716 ,143 ,2026-01-25
440,1243796,1196 ,239 ,2026-01-25
441,1244348,448 ,90 ,2026-01-25
442,1244900,920 ,184 ,2026-01-25
443,1245453,805 ,161 ,2026-01-25
444,1246005,859 ,172 ,2026-01-25
445,1246557,691 ,138 ,2026-01-25
446,1247110,693 ,139 ,2026-01-25
447,1247662,747 ,149 ,2026-01-25
448,1248214,906 ,181 ,2026-01-25
449,1248766,999 ,200 ,2026-01-25
450,1249319,252 ,50 ,2026-01-25
451,1249871,718 ,144 ,2026-01-25
452,1250423,120 ,24 ,2026-01-25
453,1250976,1161 ,232 ,2026-01-25
454,1251528,407 ,81 ,2026-01-25
455,1252080,857 ,171 ,2026-01-25
456,1252633,839 ,168 ,2026-01-25
457,1253185,1126 ,225 ,2026-01-25
458,1253737,166 ,33 ,2026-01-25
459,1254289,330 ,66 ,2026-01-25
460,1254842,225 ,45 ,2026-01-25
461,1255394,839 ,168 ,2026-01-25
462,1255946,687 ,137 ,2026-01-25
463,1256499,293 ,59 ,2026-01-25
464,1257051,814 ,163 ,2026-01-25
465,1257603,698 ,140 ,2026-01-25
466,1258156,515 ,103 ,2026-01-25
467,1258708,1124 ,225 ,2026-01-25
468,1259260,817 ,163 ,2026-01-25
469,1259812,52 ,10 ,2026-01-25
470,1260365,1198 ,240 ,2026-01-25
471,1260917,613 ,123 ,2026-01-25
472,1261469,961 ,192 ,2026-01-25
473,1262022,1111 ,222 ,2026-01-25
474,1262574,409 ,82 ,2026-01-25
475,1263126,572 ,114 ,2026-01-25
476,1263679,413 ,83 ,2026-01-25
477,1264231,455 ,91 ,2026-01-25
478,1264783,563 ,113 ,2026-01-25
479,1265335,410 ,82 ,2026-01-25
480,1265888,229 ,46 ,2026-01-25
481,1266440,1060 ,212 ,2026-01-25
482,1266992,1046 ,209 ,2026-01-25
483,1267545,114 ,23 ,2026-01-25
484,1268097,721 ,144 ,2026-01-25
485,1268649,146 ,29 ,2026-01-25
486,1269202,101 ,20 ,2026-01-25
487,1269754,723 ,145 ,2026-01-25
488,1270306,762 ,152 ,2026-01-25
489,1270858,1133 ,227 ,2026-01-25
490,1271411,277 ,55 ,2026-01-25
491,1271963,424 ,85 ,2026-01-25
492,1272515,435 ,87 ,2026-01-25
493,1273068,945 ,189 ,2026-01-25
494,1273620,67 ,13 ,2026-01-25
495,1274172,590 ,118 ,2026-01-25
496,1274725,365 ,73 ,2026-01-25
497,1275277,314 ,63 ,2026-01-25
498,1275829,1139 ,228 ,2026-01-25
499,1276381,638 ,128 ,2026-01-25
500,1276934,1051 ,210 ,2026-01-25
501,1277486,164 ,33 ,2026-01-25
502,1278038,586 ,117 ,2026-01-25
503,1278591,828 ,166 ,2026-01-25
504,1279143,600 ,120 ,2026-01-25
505,1279695,700 ,140 ,2026-01-25
506,1280248,623 ,125 ,2026-01-25
507,1280800,1135 ,227 ,2026-01-25
508,1281352,331 ,66 ,2026-01-25
509,1281904,271 ,54 ,2026-01-25
510,1282457,217 ,43 ,2026-01-25
511,1283009,613 ,123 ,2026-01-25
512,1283561,73 ,15 ,2026-01-25
513,1284114,1057 ,211 ,2026-01-25
514,1284666,546 ,109 ,2026-01-25
515,1285218,88 ,18 ,2026-01-25
516,1285771,833 ,167 ,2026-01-25
517,1286323,,83 ,2026-01-25
518,1286875,,130 ,2026-01-25
519,1287427,869 ,174 ,2026-01-25
520,1287980,931 ,186 ,2026-01-25
521,1288532,781 ,156 ,2026-01-25
522,1289084,440 ,88 ,2026-01-25
523,1289637,1181 ,236 ,2026-01-25
524,1290189,923 ,185 ,2026-01-25
525,1290741,858 ,172 ,2026-01-25
526,1291294,413 ,83 ,2026-01-25
527,1291846,972 ,194 ,2026-01-25
528,1292398,346 ,69 ,2026-01-25
529,1292950,152 ,30 ,2026-01-25
530,1293503,619 ,124 ,2026-01-25
531,1294055,557 ,111 ,2026-01-25
532,1294607,177 ,35 ,2026-01-25
533,1295160,836 ,167 ,2026-01-25
534,1295712,181 ,36 ,2026-01-25
535,1296264,913 ,183 ,2026-01-25
536,1296817,556 ,111 ,2026-01-25
537,1297369,67 ,13 ,2026-01-25
538,1297921,253 ,51 ,2026-01-25
539,1298473,348 ,70 ,2026-01-25
540,1299026,951 ,190 ,2026-01-25
541,1299578,832 ,166 ,2026-01-25
542,1300130,652 ,130 ,2026-01-25
543,1300683,175 ,35 ,2026-01-25
544,1301235,710 ,142 ,2026-01-25
545,1301787,783 ,157 ,2026-01-25
546,1302340,760 ,152 ,2026-01-25
547,1302892,910 ,182 ,2026-01-25
548,1303444,749 ,150 ,2026-01-25
549,1303996,565 ,113 ,2026-01-25
550,1304549,567 ,113 ,2026-01-25
551,1305101,825 ,165 ,2026-01-25
552,1305653,458 ,92 ,2026-01-25
553,1306206,120 ,24 ,2026-01-25
554,1306758,613 ,123 ,2026-01-25
555,1307310,704 ,141 ,2026-01-25
556,1307863,644 ,129 ,2026-01-25
557,1308415,500 ,100 ,2026-01-25
558,1308967,1114 ,223 ,2026-01-25
559,1309519,581 ,116 ,2026-01-25
560,1310072,353 ,71 ,2026-01-25
561,1310624,680 ,136 ,2026-01-25
562,1311176,441 ,88 ,2026-01-25
563,1311729,357 ,71 ,2026-01-25
564,1312281,128 ,26 ,2026-01-25
565,1312833,924 ,185 ,2026-01-25
566,1313386,186 ,37 ,2026-01-25
567,1313938,844 ,169 ,2026-01-25
568,1314490,80 ,16 ,2026-01-25
569,1315042,709 ,142 ,2026-01-25
570,1315595,473 ,95 ,2026-01-25
571,1316147,466 ,93 ,2026-01-25
572,1316699,228 ,46 ,2026-01-25
573,1317252,629 ,126 ,2026-01-25
574,1317804,520 ,104 ,2026-01-25
575,1318356,476 ,95 ,2026-01-25
576,1318909,892 ,178 ,2026-01-25
577,1319461,523 ,105 ,2026-01-25
578,1320013,145 ,29 ,2026-01-25
579,1320565,464 ,93 ,2026-01-25
580,1321118,977 ,195 ,2026-01-25
581,1321670,970 ,194 ,2026-01-25
582,1322222,934 ,187 ,2026-01-25
583,1322775,898 ,180 ,2026-01-25
584,1323327,275 ,55 ,2026-01-25
585,1323879,423 ,85 ,2026-01-25
586,1324432,379 ,76 ,2026-01-25
587,1324984,727 ,145 ,2026-01-25
588,1325536,725 ,145 ,2026-01-25
589,1326088,1102 ,220 ,2026-01-25
590,1326641,793 ,159 ,2026-01-25
591,1327193,200 ,40 ,2026-01-25
592,1327745,921 ,184 ,2026-01-25
593,1328298,70 ,14 ,2026-01-25
594,1328850,230 ,46 ,2026-01-25
595,1329402,396 ,79 ,2026-01-25
596,1329955,1104 ,221 ,2026-01-25
597,1330507,830 ,166 ,2026-01-25
598,1331059,608 ,122 ,2026-01-25
599,1331611,576 ,115 ,2026-01-25
600,1332164,675 ,135 ,2026-01-25
601,1332716,747 ,149 ,2026-01-25
602,1333268,805 ,161 ,2026-01-25
603,1333821,574 ,115 ,2026-01-25
604,1334373,52 ,10 ,2026-01-25
605,1334925,694 ,139 ,2026-01-25
606,1335478,119 ,24 ,2026-01-25
607,1336030,244 ,49 ,2026-01-25
608,1336582,697 ,139 ,2026-01-25
609,1337134,196 ,39 ,2026-01-25
610,1337687,510 ,102 ,2026-01-25
611,1338239,1159 ,232 ,2026-01-25
612,1338791,361 ,72 ,2026-01-25
613,1339344,1090 ,218 ,2026-01-25
614,1339896,486 ,97 ,2026-01-25
615,1340448,588 ,118 ,2026-01-25
616,1341001,779 ,156 ,2026-01-25
617,1341553,1114 ,223 ,2026-01-25
618,1342105,676 ,135 ,2026-01-25
619,1342657,674 ,135 ,2026-01-25
620,1343210,578 ,116 ,2026-01-25
621,1343762,1025 ,205 ,2026-01-25
622,1344314,1112 ,222 ,2026-01-25
623,1344867,1067 ,213 ,2026-01-25
624,1345419,488 ,98 ,2026-01-25
625,1345971,417 ,83 ,2026-01-25
626,1346524,613 ,123 ,2026-01-25
627,1347076,1105 ,221 ,2026-01-25
628,1347628,968 ,194 ,2026-01-25
629,1348180,1166 ,233 ,2026-01-25
630,1348733,1038 ,208 ,2026-01-25
631,1349285,765 ,153 ,2026-01-25
632,1349837,188 ,38 ,2026-01-25
633,1350390,134 ,27 ,2026-01-25
634,1350942,1148 ,230 ,2026-01-25
635,1351494,260 ,52 ,2026-01-25
636,1352047,631 ,126 ,2026-01-25
637,1352599,810 ,162 ,2026-01-25
638,1353151,57 ,11 ,2026-01-25
639,1353703,59 ,12 ,2026-01-25
640,1354256,461 ,92 ,2026-01-25
641,1354808,1019 ,204 ,2026-01-25
642,1355360,1038 ,208 ,2026-01-25
643,1355913,1156 ,231 ,2026-01-25
644,1356465,938 ,188 ,2026-01-25
645,1357017,256 ,51 ,2026-01-25
646,1357570,683 ,137 ,2026-01-25
647,1358122,640 ,128 ,2026-01-25
648,1358674,463 ,93 ,2026-01-25
649,1359226,429 ,86 ,2026-01-25
650,1359779,1154 ,231 ,2026-01-25
651,1360331,629 ,126 ,2026-01-25
652,1360883,921 ,184 ,2026-01-25
653,1361436,479 ,96 ,2026-01-25
654,1361988,1121 ,224 ,2026-01-25
655,1362540,735 ,147 ,2026-01-25
656,1363093,377 ,75 ,2026-01-25
657,1363645,986 ,197 ,2026-01-25
658,1364197,492 ,98 ,2026-01-25
659,1364749,822 ,164 ,2026-01-25
660,1365302,69 ,14 ,2026-01-25
661,1365854,538 ,108 ,2026-01-25
